Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.8205E-08,-2.5277E-05,0.042157,0,0,0,0.12906,0.00024119,-3.0244E-10,4.309E-12,0.00018976,1.2106E-07,0.00025363,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/base_link.STL,,B1_J1-1/B1J1壳-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
j1_link,-1.9961E-06,0.010737,0.076839,0,0,0,0.41598,0.00020859,-2.8367E-11,-1.2889E-08,0.00033945,-7.4223E-06,0.00019942,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j1_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j1_link.STL,,J2-1,zuobiaoxi2,zhou1,j1_joint,revolute,0,-0.0845,0,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
j2_link,-2.5094E-09,-0.015507,0.099818,0,0,0,0.38905,0.00032037,-1.7512E-11,-2.2597E-12,0.00033557,-3.0514E-06,0.00021781,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j2_link.STL,,J3-1,zuobiaoxi3,zhou2,j2_joint,revolute,0,0.0275,0.084,0,0,0,j1_link,0,1,0,0,0,0,0,,,,,,,,
j3_link,-6.1779E-08,-0.010451,0.070971,0,0,0,0.32243,0.00013018,6.6636E-12,3.9149E-10,0.00020099,5.9025E-06,0.00012299,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j3_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j3_link.STL,,J4-1,zuobiaoxi4,zhou3,j3_joint,revolute,0,-0.0275,0.139,0,0,0,j2_link,0,0,1,0,0,0,0,,,,,,,,
j4_link,1.5506E-08,0.018272,0.092744,0,0,0,0.3596,0.00023034,1.1917E-11,-2.2838E-10,0.00023623,-2.7003E-08,0.00020538,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j4_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j4_link.STL,,J5-1,zuobiaoxi5,zhou4,j4_joint,revolute,0,-0.0276,0.0785,0,0,0,j3_link,0,-1,0,0,0,0,0,,,,,,,,
j5_link,-3.6727E-09,0.010563,0.071541,0,0,0,0.31895,0.00012967,5.8801E-12,1.5472E-11,0.00020048,-5.9159E-06,0.00012242,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j5_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j5_link.STL,,J6-1,zuobiaoxi6,zhou5,j5_joint,revolute,0,0.0276,0.1236,0,0,0,j4_link,0,0,1,0,0,0,0,,,,,,,,
j6_link,-1.5558E-08,-0.018286,0.092792,0,0,0,0.35941,0.00023015,1.1928E-11,2.2779E-10,0.00023603,4.9441E-08,0.00020537,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j6_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j6_link.STL,,J7-1,zuobiaoxi7,zhou6,j6_joint,revolute,0,0.0276,0.0785,0,0,0,j5_link,0,1,0,0,0,0,0,,,,,,,,
j7_link,6.9788E-07,3.6802E-05,0.017562,0,0,0,0.03134,9.377E-06,4.6194E-10,3.3023E-10,9.4013E-06,1.7415E-08,8.2521E-06,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j7_link.STL,1,1,0,1,0,0,0,0,0,0,package://B1_0.5.SLDASM/meshes/j7_link.STL,,B1J7法兰-1,zuobiaoxi8,zhou7,j7_joint,revolute,0,-0.0276,0.1236,0,0,0,j6_link,0,0,1,0,0,0,0,,,,,,,,
